iter	Passed	Remaining
135	7606	48323
136	7659	48249
137	7708	48150
138	7764	48092
139	7832	48115
140	7914	48215
141	7972	48170
142	8018	48053
143	8065	47944
144	8112	47837
145	8173	47809
146	8216	47680
147	8256	47528
148	8293	47365
149	8339	47259
150	8379	47111
151	8432	47041
152	8483	46963
153	8534	46883
154	8574	46743
155	8619	46634
156	8660	46502
157	8720	46470
158	8766	46370
159	8809	46250
160	8848	46111
161	8900	46042
162	8982	46122
163	9051	46139
164	9112	46113
165	9163	46036
166	9206	45924
167	9260	45862
168	9318	45820
169	9377	45782
170	9445	45790
171	9490	45684
172	9551	45661
173	9608	45614
174	9674	45608
175	9744	45624
176	9802	45578
177	9859	45530
178	9925	45522
179	9981	45470
180	10043	45443
181	10098	45386
182	10151	45323
183	10210	45282
184	10268	45236
185	10324	45181
186	10375	45106
187	10417	44995
188	10473	44940
189	10523	44865
190	10578	44804
191	10631	44738
192	10677	44646
193	10720	44538
194	10762	44427
195	10820	44387
196	10869	44304
197	10930	44275
198	10971	44160
199	11029	44117
200	11080	44048
201	11129	43968
202	11171	43859
203	11217	43771
204	11266	43692
205	11314	43609
206	11356	43505
207	11395	43390
208	11439	43293
209	11485	43207
210	11540	43155
211	11579	43039
212	11628	42966
213	11679	42897
214	11724	42809
215	11782	42766
216	11831	42690
217	11874	42595
218	11937	42571
219	11980	42476
220	12021	42374
221	12065	42282
222	12116	42218
223	12176	42182
224	12233	42138
225	12285	42076
226	12338	42015
227	12391	41955
228	12448	41912
229	12509	41880
230	12563	41824
231	12619	41774
232	12690	41774
233	12743	41717
234	12804	41683
235	12860	41633
236	12918	41588
237	12972	41535
238	13033	41501
239	13091	41456
240	13143	41393
241	13215	41393
242	13268	41334
243	13328	41295
244	13386	41253
245	13436	41182
246	13496	41144
247	13547	41079
248	13596	41006
249	13642	40926
250	13690	40852
251	13731	40757
252	13788	40711
253	13847	40671
254	13894	40594
255	13955	40557
256	14001	40478
257	14058	40432
258	14108	40364
259	14165	40317
260	14208	40229
261	14248	40135
262	14307	40092
263	14355	40020
264	14413	39976
265	14462	39908
266	14526	39880
267	14588	39845
268	14638	39778
269	14684	39703
270	14738	39647
271	14782	39564
272	14827	39486
273	14887	39446
274	14946	39403
275	15008	39371
276	15049	39280
277	15092	39197
278	15135	39113
279	15183	39043
280	15248	39017
281	15300	38955
282	15349	38888
283	15394	38811
284	15434	38721
285	15484	38655
286	15535	38594
287	15592	38549
288	15638	38473
289	15685	38401
290	15726	38315
291	15790	38287
292	15830	38199
293	15885	38147
294	15934	38080
295	15978	38002
296	16027	37937
297	16071	37860
298	16133	37824
299	16185	37766
300	16229	37689
301	16270	37604
302	16324	37551
303	16389	37522
304	16453	37492
305	16523	37474
306	16578	37422
307	16620	37342
308	16684	37311
309	16739	37258
310	16785	37186
311	16827	37107
312	16897	37088
313	16952	37036
314	17003	36976
315	17057	36921
316	17106	36857
317	17174	36833
318	17215	36751
319	17266	36690
320	17322	36641
321	17376	36588
322	17418	36508
323	17465	36441
324	17515	36377
325	17552	36289
326	17598	36220
327	17639	36139
328	17677	36052
329	17732	36001
330	17783	35943
331	17829	35874
332	17879	35813
333	17928	35750
334	17980	35692
335	18039	35650
336	18100	35609
337	18148	35544
338	18203	35493
339	18264	35455
340	18335	35434
341	18384	35372
342	18433	35308
343	18474	35230
344	18520	35161
345	18570	35101
346	18625	35051
347	18665	34970
348	18707	34896
349	18766	34851
350	18800	34762
351	18847	34697
352	18894	34630
353	18943	34569
354	18997	34516
355	19043	34449
356	19091	34386
357	19131	34308
358	19172	34232
359	19226	34180
360	19273	34115
361	19317	34045
362	19351	33959
363	19395	33888
364	19439	33819
365	19489	33760
366	19536	33696
367	19586	33637
368	19628	33565
369	19690	33527
370	19750	33485
371	19805	33435
372	19861	33386
373	19920	33342
374	19970	33284
375	20015	33217
376	20058	33146
377	20100	33075
378	20148	33014
379	20198	32955
380	20252	32903
381	20298	32839
382	20344	32773
383	20394	32716
384	20446	32661
385	20484	32584
386	20535	32528
387	20595	32485
388	20637	32415
389	20684	32352
390	20747	32314
391	20813	32282
392	20875	32242
393	20930	32193
394	20980	32134
395	21028	32074
396	21078	32015
397	21133	31965
398	21183	31907
399	21223	31834
400	21263	31763
401	21326	31723
402	21371	31659
403	21408	31583
404	21450	31514
405	21538	31511
406	21584	31448
407	21642	31402
408	21680	31327
409	21724	31261
410	21774	31204
411	21831	31157
412	21881	31099
413	21941	31057
414	21993	31002
415	22043	30945
416	22093	30888
417	22147	30837
418	22202	30786
419	22245	30719
420	22296	30664
421	22343	30603
422	22393	30546
423	22458	30510
424	22504	30447
425	22547	30380
426	22587	30310
427	22621	30232
428	22676	30181
429	22726	30125
430	22767	30057
431	22818	30001
432	22877	29957
433	22938	29915
434	22993	29865
435	23060	29831
436	23113	29777
437	23168	29727
438	23233	29690
439	23279	29628
440	23324	29565
441	23374	29509
442	23418	29445
443	23476	29397
444	23528	29345
445	23577	29286
446	23624	29226
447	23671	29166
448	23721	29110
449	23781	29066
450	23840	29020
451	23883	28956
452	23936	28903
453	23988	28849
454	24029	28782
455	24078	28724
456	24132	28673
457	24181	28616
458	24227	28555
459	24275	28497
460	24331	28447
461	24389	28401
462	24437	28342
463	24483	28282
464	24544	28238
465	24585	28173
466	24651	28135
467	24707	28086
468	24755	28028
469	24798	27963
470	24847	27907
471	24902	27856
472	24965	27815
473	25017	27762
474	25069	27707
475	25123	27656
476	25167	27594
477	25208	27528
478	25252	27467
479	25295	27403
480	25349	27352
481	25402	27299
482	25447	27238
483	25504	27190
484	25550	27131
485	25603	27078
486	25649	27019
487	25695	26958
488	25741	26900
489	25785	26837
490	25832	26779
491	25884	26726
492	25929	26665
493	25979	26610
494	26021	26546
495	26067	26487
496	26117	26432
497	26162	26372
498	26216	26321
499	26279	26279
500	26323	26218
501	26360	26150
502	26413	26098
503	26466	26046
504	26521	25996
505	26582	25952
506	26652	25916
507	26701	25860
508	26746	25800
509	26787	25737
510	26843	25688
511	26888	25627
512	26931	25566
513	26983	25514
514	27037	25462
515	27080	25401
516	27132	25348
517	27186	25296
518	27244	25249
519	27293	25194
520	27349	25144
521	27401	25091
522	27449	25035
523	27488	24970
524	27546	24922
525	27602	24873
526	27646	24813
527	27687	24750
528	27738	24697
529	27802	24655
530	27850	24598
531	27927	24567
532	27995	24529
533	28059	24486
534	28125	24445
535	28195	24407
536	28238	24347
537	28289	24292
538	28337	24236
539	28385	24179
540	28431	24122
541	28485	24070
542	28540	24019
543	28584	23960
544	28643	23913
545	28683	23850
546	28729	23792
547	28787	23744
548	28849	23700
549	28908	23652
550	28978	23613
551	29042	23571
552	29114	23534
553	29170	23484
554	29225	23433
555	29270	23374
556	29323	23321
557	29376	23269
558	29421	23210
559	29470	23155
560	29513	23095
561	29563	23040
562	29619	22990
563	29664	22932
564	29708	22873
565	29755	22815
566	29803	22760
567	29846	22700
568	29894	22644
569	29941	22587
570	29997	22537
571	30064	22495
572	30127	22451
573	30177	22396
574	30229	22343
575	30286	22293
576	30328	22233
577	30374	22176
578	30419	22118
579	30470	22064
580	30524	22013
581	30573	21958
582	30628	21907
583	30693	21864
584	30740	21807
585	30794	21756
586	30844	21701
587	30883	21639
588	30933	21584
589	30984	21531
590	31037	21479
591	31090	21426
592	31131	21366
593	31207	21330
594	31277	21289
595	31350	21251
596	31410	21203
597	31465	21152
598	31516	21098
599	31568	21045
600	31617	20990
601	31661	20932
602	31711	20878
603	31758	20821
604	31800	20762
605	31855	20711
606	31912	20661
607	31968	20611
608	32020	20558
609	32059	20497
610	32106	20440
611	32155	20385
612	32229	20347
613	32306	20309
614	32373	20266
615	32414	20206
616	32473	20157
617	32516	20099
618	32581	20054
619	32637	20003
620	32681	19945
621	32719	19884
622	32772	19831
623	32826	19780
624	32879	19727
625	32929	19673
626	32981	19620
627	33025	19562
628	33066	19503
629	33115	19449
630	33170	19397
631	33220	19343
632	33255	19281
633	33311	19230
634	33366	19179
635	33417	19125
636	33470	19073
637	33510	19013
638	33572	18966
639	33617	18909
640	33663	18853
641	33713	18799
642	33752	18739
643	33793	18680
644	33843	18626
645	33893	18573
646	33934	18514
647	33973	18454
648	34029	18404
649	34072	18346
650	34120	18291
651	34161	18233
652	34203	18175
653	34245	18117
654	34296	18064
655	34342	18008
656	34391	17954
657	34435	17898
658	34484	17844
659	34529	17787
660	34577	17733
661	34631	17681
662	34685	17630
663	34734	17576
664	34781	17521
665	34823	17464
666	34879	17413
667	34948	17369
668	34996	17315
669	35036	17256
670	35083	17202
671	35123	17143
672	35169	17088
673	35216	17033
674	35260	16977
675	35317	16927
676	35367	16874
677	35411	16817
678	35456	16762
679	35495	16703
680	35541	16648
681	35597	16598
682	35656	16549
683	35708	16497
684	35761	16444
685	35811	16391
686	35862	16339
687	35907	16283
688	35947	16226
689	35997	16172
690	36044	16118
691	36079	16058
692	36123	16002
693	36169	15947
694	36205	15888
695	36252	15834
696	36290	15776
697	36331	15719
698	36381	15666
699	36430	15613
700	36471	15556
701	36508	15497
702	36552	15442
703	36593	15386
704	36638	15330
705	36691	15279
706	36742	15227
707	36792	15174
708	36847	15123
709	36904	15073
710	36946	15017
711	36985	14960
712	37030	14905
713	37081	14853
714	37129	14800
715	37173	14744
716	37214	14688
717	37258	14633
718	37312	14582
719	37361	14529
720	37394	14470
721	37439	14415
722	37481	14360
723	37523	14304
724	37570	14250
725	37613	14195
726	37664	14143
727	37708	14088
728	37757	14035
729	37805	13982
730	37858	13931
731	37914	13881
732	37954	13825
733	38011	13775
734	38048	13718
735	38087	13661
736	38135	13608
737	38184	13555
738	38230	13502
739	38274	13447
740	38319	13393
741	38369	13341
742	38429	13292
743	38484	13241
744	38537	13190
745	38583	13136
746	38647	13089
747	38708	13040
748	38779	12995
749	38850	12950
750	38900	12897
751	38946	12843
752	38991	12789
753	39044	12738
754	39089	12684
755	39137	12631
756	39178	12576
757	39232	12525
758	39276	12471
759	39319	12416
760	39366	12363
761	39416	12311
762	39464	12258
763	39513	12205
764	39558	12151
765	39610	12100
766	39661	12048
767	39706	11994
768	39753	11941
769	39794	11886
770	39843	11834
771	39897	11783
772	39969	11737
773	40009	11682
774	40059	11630
775	40112	11578
776	40175	11530
777	40225	11478
778	40277	11426
779	40333	11376
780	40376	11321
781	40434	11272
782	40491	11221
783	40544	11170
784	40589	11116
785	40636	11064
786	40682	11010
787	40733	10958
788	40779	10905
789	40826	10852
790	40879	10801
791	40931	10749
792	40984	10698
793	41029	10644
794	41080	10592
795	41130	10541
796	41181	10489
797	41221	10434
798	41267	10381
799	41322	10330
800	41370	10278
801	41421	10226
802	41468	10173
803	41531	10124
804	41599	10076
805	41650	10025
806	41708	9974
807	41746	9920
808	41796	9867
809	41845	9815
810	41894	9763
811	41942	9710
812	41991	9658
813	42030	9603
814	42079	9551
815	42129	9499
816	42179	9447
817	42237	9397
818	42288	9345
819	42338	9293
820	42391	9242
821	42445	9191
822	42504	9141
823	42542	9086
824	42588	9033
825	42645	8983
826	42687	8929
827	42732	8876
828	42768	8822
829	42826	8771
830	42872	8718
831	42920	8666
832	42966	8613
833	43007	8560
834	43044	8505
835	43089	8453
836	43136	8400
837	43176	8346
838	43225	8294
839	43275	8242
840	43320	8190
841	43358	8136
842	43399	8082
843	43445	8030
844	43488	7977
845	43530	7924
846	43571	7870
847	43628	7820
848	43674	7767
849	43723	7715
850	43776	7664
851	43835	7614
852	43873	7560
853	43924	7509
854	43972	7457
855	44017	7404
856	44067	7353
857	44113	7300
858	44170	7250
859	44218	7198
860	44272	7147
861	44317	7094
862	44364	7042
863	44408	6990
864	44452	6937
865	44500	6885
866	44556	6835
867	44614	6784
868	44652	6731
869	44700	6679
870	44750	6627
871	44801	6576
872	44851	6524
873	44909	6474
874	44957	6422
875	45009	6371
876	45061	6319
877	45109	6268
878	45162	6216
879	45211	6165
880	45262	6113
881	45327	6064
882	45373	6012
883	45420	5960
884	45486	5910
885	45533	5858
886	45579	5806
887	45622	5754
888	45672	5702
889	45727	5651
890	45786	5601
891	45837	5549
892	45881	5497
893	45934	5446
894	45984	5394
895	46036	5343
896	46088	5292
897	46144	5241
898	46203	5190
899	46256	5139
900	46304	5087
901	46359	5036
902	46410	4985
903	46462	4934
904	46511	4882
905	46575	4832
906	46642	4782
907	46689	4730
908	46752	4680
909	46805	4629
910	46893	4581
911	46939	4529
912	46995	4478
913	47046	4426
914	47088	4374
915	47153	4324
916	47220	4274
917	47279	4223
918	47344	4172
919	47392	4121
920	47451	4070
921	47497	4018
922	47551	3966
923	47607	3915
924	47673	3865
925	47727	3814
926	47787	3763
927	47826	3710
928	47869	3658
929	47927	3607
930	47976	3555
931	48018	3503
932	48085	3453
933	48143	3401
934	48186	3349
935	48240	3298
936	48288	3246
937	48338	3195
938	48389	3143
939	48438	3091
940	48504	3041
941	48557	2989
942	48613	2938
943	48658	2886
944	48697	2834
945	48755	2783
946	48804	2731
947	48864	2680
948	48923	2629
949	48983	2578
950	49035	2526
951	49080	2474
952	49124	2422
953	49172	2370
954	49214	2318
955	49259	2267
956	49303	2215
957	49353	2163
958	49400	2112
959	49445	2060
960	49495	2008
961	49549	1957
962	49605	1905
963	49650	1854
964	49700	1802
965	49745	1750
966	49796	1699
967	49848	1647
968	49898	1596
969	49954	1544
970	49995	1493
971	50053	1441
972	50111	1390
973	50155	1338
974	50203	1287
975	50248	1235
976	50300	1184
977	50343	1132
978	50390	1080
979	50440	1029
980	50496	978
981	50542	926
982	50590	874
983	50652	823
984	50708	772
985	50753	720
986	50804	669
987	50856	617
988	50910	566
989	50961	514
990	51011	463
991	51057	411
992	51114	360
993	51171	308
994	51220	257
995	51273	205
996	51323	154
997	51377	102
998	51433	51
999	51488	0
