iter	MultiClass
654	0.4055041546
655	0.4054764367
656	0.4054360119
657	0.4054088628
658	0.4053449941
659	0.4053279299
660	0.4052773649
661	0.4052300652
662	0.4051615764
663	0.4051063264
664	0.4050496362
665	0.4050288822
666	0.4049568064
667	0.4049006687
668	0.4048641642
669	0.4048424195
670	0.4047879871
671	0.4047539575
672	0.4047221716
673	0.4046798162
674	0.4046071872
675	0.4045364745
676	0.4044685043
677	0.4044533612
678	0.404420419
679	0.4043764816
680	0.4043157233
681	0.4042669566
682	0.4041881774
683	0.4041416362
684	0.4040592621
685	0.4040170433
686	0.4039668967
687	0.4039290172
688	0.4038909334
689	0.4038353755
690	0.4037975919
691	0.4037796361
692	0.4037395999
693	0.4037037191
694	0.4036749929
695	0.403618409
696	0.4035963317
697	0.4035476647
698	0.4034975167
699	0.4034440136
700	0.4034215639
701	0.4034047265
702	0.4033607021
703	0.4033333698
704	0.4032882199
705	0.403250855
706	0.4031738618
707	0.4031401825
708	0.4030844734
709	0.4030182221
710	0.4029852355
711	0.4029577171
712	0.4028885503
713	0.4028426396
714	0.4027841786
715	0.402757525
716	0.4027197885
717	0.4026982309
718	0.4026562141
719	0.4026113166
720	0.4025938252
721	0.4025663667
722	0.4025120513
723	0.4024934778
724	0.4024515237
725	0.4024238871
726	0.4023596813
727	0.4023232194
728	0.4023031308
729	0.4022710826
730	0.4022181972
731	0.4021284376
732	0.4021130906
733	0.4020693893
734	0.4020528193
735	0.4020258854
736	0.4019848826
737	0.4019326657
738	0.4019059856
739	0.4018537746
740	0.4018387202
741	0.4017989705
742	0.4017630329
743	0.4016950292
744	0.401642472
745	0.4016254397
746	0.4015663
747	0.401511982
748	0.4014480213
749	0.4013975951
750	0.4013543967
751	0.4013188435
752	0.4012891703
753	0.401226861
754	0.4011772566
755	0.4011452318
756	0.4011083641
757	0.4010804374
758	0.4010273333
759	0.4010011912
760	0.4009837553
761	0.4009363343
762	0.4008842092
763	0.4008425109
764	0.4008063975
765	0.4007545229
766	0.4006856658
767	0.4006256008
768	0.400597241
769	0.4005544783
770	0.4005282378
771	0.4005141726
772	0.4004661977
773	0.4004353624
774	0.4004061885
775	0.4003515696
776	0.40030488
777	0.4002941483
778	0.4002419438
779	0.4001841513
780	0.4001648134
781	0.4001251544
782	0.4001002092
783	0.400046331
784	0.4000100924
785	0.3999694413
786	0.3999347563
787	0.3998884
788	0.3998589303
789	0.399836798
790	0.3998040825
791	0.3997820876
792	0.399724828
793	0.3997034971
794	0.3996512315
795	0.3996304363
796	0.3996140117
797	0.3995662139
798	0.3995112771
799	0.3994415773
800	0.3993597961
801	0.3992987319
802	0.3992569223
803	0.399220374
804	0.3991754554
805	0.3991455095
806	0.3990833918
807	0.3990597545
808	0.3990330502
809	0.3989982546
810	0.3989574923
811	0.398896818
812	0.3988515874
813	0.3988343125
814	0.3987603301
815	0.3986846894
816	0.3986131325
817	0.3985746808
818	0.3985341673
819	0.3984674339
820	0.3984247422
821	0.3983925432
822	0.3983189032
823	0.398283804
824	0.3982472149
825	0.3981873299
826	0.3981525255
827	0.3980987351
828	0.3980724545
829	0.3980239476
830	0.3979957296
831	0.3979657386
832	0.397928756
833	0.3978874874
834	0.3978653498
835	0.3978104314
836	0.3977957856
837	0.3977501332
838	0.397704013
839	0.3976655053
840	0.3976323226
841	0.3976044197
842	0.397556108
843	0.3975370313
844	0.397503002
845	0.3974768882
846	0.3974364019
847	0.397386633
848	0.3973740521
849	0.3973333358
850	0.3973052307
851	0.3972735181
852	0.3972404152
853	0.3971733819
854	0.3971247499
855	0.3970893392
856	0.3970478334
857	0.3970134586
858	0.3969853301
859	0.39694392
860	0.3968556765
861	0.3968256201
862	0.3967824424
863	0.3967269622
864	0.3966968987
865	0.3966618297
866	0.3966262255
867	0.3965907563
868	0.3965646159
869	0.3965109664
870	0.3964612158
871	0.3964013674
872	0.3963894841
873	0.3963573064
874	0.3963276074
875	0.3962498009
876	0.3961991563
877	0.3961480641
878	0.3961033732
879	0.3960796233
880	0.3960302152
881	0.3959630735
882	0.3958994213
883	0.3958473061
884	0.3957943226
885	0.3957352988
886	0.3957022417
887	0.3956675349
888	0.3956353996
889	0.3955888964
890	0.3955568463
891	0.3955234929
892	0.3954957275
893	0.395451766
894	0.395422916
895	0.3953835167
896	0.3953513715
897	0.3953061424
898	0.3952356279
899	0.395211778
900	0.3951961846
901	0.3951555164
902	0.395112709
903	0.39508009
904	0.3950555076
905	0.3950035435
906	0.3949624648
907	0.394944623
908	0.3948582538
909	0.3948318233
910	0.3947787322
911	0.3947573929
912	0.3947033121
913	0.3946523609
914	0.3946184044
915	0.394573307
916	0.394522062
917	0.3944943579
918	0.394464441
919	0.3944428223
920	0.3944098375
921	0.3943813537
922	0.394349936
923	0.3943040282
924	0.3942587303
925	0.3942249844
926	0.3941727906
927	0.3941462615
928	0.394122871
929	0.3940865486
930	0.3940274167
931	0.3939845158
932	0.3939611591
933	0.3939302317
934	0.3938990363
935	0.3938621181
936	0.3937977181
937	0.3937761842
938	0.3937403583
939	0.3936888917
940	0.3936614689
941	0.3936071607
942	0.3935550684
943	0.3935435286
944	0.393513982
945	0.3934663643
946	0.3934487045
947	0.3934045967
948	0.3933821163
949	0.3933304437
950	0.3932905989
951	0.3932675324
952	0.3932507026
953	0.3932137296
954	0.3931740648
955	0.3931286117
956	0.3930955077
957	0.3930602477
958	0.3930183487
959	0.3929907908
960	0.3929542334
961	0.3929225224
962	0.392890203
963	0.3928617939
964	0.3928395858
965	0.3928054013
966	0.3927697312
967	0.3927104238
968	0.3927005169
969	0.3926613949
970	0.3926307717
971	0.3926110969
972	0.3925688113
973	0.3925197331
974	0.3924920441
975	0.3924565688
976	0.3924225734
977	0.3923816481
978	0.3923578116
979	0.3923240129
980	0.3922882302
981	0.3922673169
982	0.3922476182
983	0.3921974089
984	0.3921508031
985	0.3921252307
986	0.3921019582
987	0.3920754732
988	0.3920196977
989	0.3919814949
990	0.3919698743
991	0.3919468971
992	0.3918917828
993	0.391830734
994	0.3917776292
995	0.391737277
996	0.3917170511
997	0.3916761727
998	0.3916526537
999	0.3916203852
